run_id,seed,t_train_fit,t_grok,metric_name,threshold_type,threshold_value,t_metric,lead_time_steps,lead_time_fraction_of_grok_time,metric_value_at_t_metric,metric_value_at_t_grok
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K1,relative_0.5,0.5,450.0,19550.0,0.9775,-0.0442835965809309,-0.0659904080747594
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K1,relative_0.8,0.8,3000.0,17000.0,0.85,-0.0626638501269034,-0.0659904080747594
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K1,absolute,0.2,,,,,-0.0659904080747594
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K1,absolute,0.4,,,,,-0.0659904080747594
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K1,absolute,0.6,,,,,-0.0659904080747594
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K2,relative_0.5,0.5,9000.0,11000.0,0.55,0.1256558502097383,0.11220230453639
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K2,relative_0.8,0.8,9000.0,11000.0,0.55,0.1256558502097383,0.11220230453639
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K2,absolute,0.2,,,,,0.11220230453639
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K2,absolute,0.4,,,,,0.11220230453639
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K2,absolute,0.6,,,,,0.11220230453639
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K4,relative_0.5,0.5,1450.0,18550.0,0.9275,0.0725495762076355,0.1339638624187358
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K4,relative_0.8,0.8,9000.0,11000.0,0.55,0.1470749271891993,0.1339638624187358
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K4,absolute,0.2,,,,,0.1339638624187358
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K4,absolute,0.4,,,,,0.1339638624187358
