run_id,seed,t_train_fit,t_grok,metric_name,threshold_type,threshold_value,t_metric,lead_time_steps,lead_time_fraction_of_grok_time,metric_value_at_t_metric,metric_value_at_t_grok
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K1,relative_0.5,0.5,10.0,20990.0,0.9995238095238095,-0.0371918501424761,-0.0631126803257769
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K1,relative_0.8,0.8,2200.0,18800.0,0.8952380952380953,-0.0652595804039513,-0.0631126803257769
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K1,absolute,0.2,,,,,-0.0631126803257769
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K1,absolute,0.4,,,,,-0.0631126803257769
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K1,absolute,0.6,,,,,-0.0631126803257769
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K2,relative_0.5,0.5,2600.0,18400.0,0.8761904761904762,-0.0964512924150823,-0.1241281988526747
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K2,relative_0.8,0.8,2800.0,18200.0,0.8666666666666667,-0.1089170958297079,-0.1241281988526747
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K2,absolute,0.2,,,,,-0.1241281988526747
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K2,absolute,0.4,,,,,-0.1241281988526747
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K2,absolute,0.6,,,,,-0.1241281988526747
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,align_K4,relative_0.5,0.5,40.0,20960.0,0.9980952380952381,-0.0258238686602841,-0.0287008680532175
